epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.11074,0,46.9449,0,0,0,0,0,0,49.6439,0,0,0,0
2,4.5299,0,46.9335,0,0,0,0,0,0,49.6696,0,8.91002e-06,8.91002e-06,8.91002e-06
3,6.86171,0,46.9939,0,0,0,0,0,0,49.6945,0,1.74601e-05,1.74601e-05,1.74601e-05
4,9.3122,0,46.8822,0,0,0,0,0,0,49.7182,0,2.56502e-05,2.56502e-05,2.56502e-05
5,11.6868,0,46.7613,0,0,0,0,0,0,49.7418,0,3.34803e-05,3.34803e-05,3.34803e-05
6,14.0857,0,46.6393,0,0,0,0,0,0,49.7647,0,4.09505e-05,4.09505e-05,4.09505e-05
7,16.3818,0,46.4678,0,0,0,0,0,0,49.7852,0,4.80606e-05,4.80606e-05,4.80606e-05
8,18.6396,0,46.3225,0,0,0,0,0,0,49.8,0,5.48109e-05,5.48109e-05,5.48109e-05
9,20.9604,0,46.1602,0,0,0,0,0,0,49.8,0,6.12012e-05,6.12012e-05,6.12012e-05
10,23.1902,0,46.117,0,0,0,0,0,0,49.8347,0,6.72315e-05,6.72315e-05,6.72315e-05
11,25.5224,0,45.9635,0,0,0,0,0,0,49.8347,0,7.29018e-05,7.29018e-05,7.29018e-05
12,27.7485,0,45.8989,0,0,0,0,0,0,49.8637,0,7.82122e-05,7.82122e-05,7.82122e-05
13,29.837,0,45.7296,0,0,0,0,0,0,49.8637,0,8.31626e-05,8.31626e-05,8.31626e-05
14,32.0095,0,45.7523,0,0,0,0,0,0,49.8796,0,8.7753e-05,8.7753e-05,8.7753e-05
15,34.0722,0,45.4956,0,0,0,0,0,0,49.8796,0,9.19835e-05,9.19835e-05,9.19835e-05
16,36.2949,0,45.5403,0,0,0,0,0,0,49.8877,0,9.5854e-05,9.5854e-05,9.5854e-05
17,38.3838,0,45.4416,0,0,0,0,0,0,49.8877,0,9.93646e-05,9.93646e-05,9.93646e-05
18,40.6329,0,45.4157,0,0,0,0,0,0,49.8888,0,0.000102515,0.000102515,0.000102515
19,42.7658,0,45.036,0,0,0,0,0,0,49.8888,0,0.000105306,0.000105306,0.000105306
20,44.9809,0,45.2647,0,0,0,0,0,0,49.8805,0,0.000107736,0.000107736,0.000107736
21,47.0856,0,44.877,0,0,0,0,0,0,49.8805,0,0.000109807,0.000109807,0.000109807
22,49.3185,0,44.8065,0,0,0,0,0,0,49.8633,0,0.000111518,0.000111518,0.000111518
23,51.4533,0,44.5718,0,0,0,0,0,0,49.8633,0,0.000112869,0.000112869,0.000112869
24,53.543,0,44.6115,0,0,0,0,0,0,49.8633,0,0.00011386,0.00011386,0.00011386
25,55.7635,0,44.6387,0,0,0,0,0,0,49.8516,0,0.00011449,0.00011449,0.00011449
26,57.9721,0,44.3851,0,0,0,0,0,0,49.8516,0,0.000114761,0.000114761,0.000114761
27,60.1588,0,44.2976,0,0,0,0,0,0,49.8516,0,0.000114672,0.000114672,0.000114672
